id,RBC,hcRBC,lysRBC
AC121_Dport_f_ddmmyy,346,252,148
AC186_Dport_f_130923,1961,147,25
AC195_Ddah_f_130923,259,37,57
AC199_Ddah_f_130923,3244,210,189
AC200_Ddah_f_130923,2189,198,76
AC206_Dport_m_140923,2307,124,66
AC220_Dport_f_140923,6830,396,20
AC223_Dport_f_140923,5510,248,10
AC229_Dport_f_140923,3429,137,18
AC235_Ddah_f_140923,4969,407,29
AC241_Ddah_f_140923,5063,143,30
AC244_HybDportDdah_f_150923,4656,71,18
AC246_Dport_m_150923,1224,106,87
AC250_HybDportDdah_f_150923,4226,278,44
AC251_HybDportDdah_f_150923,4027,103,46
AC253_Darm_f_150923,3373,349,232
AC256_Darm_f_150923,3736,249,28
AC258_Darm_f_150923,3394,271,41
AC259_Darm_f_150923,1905,294,81
AC27_Dport_m_280523,3906,98,49
AC34_Ddah_f_dd0523,1471,110,38
AC41_Ddah_f_dd0523,2431,86,14
AC43_Ddah_f_dd0523,3738,429,32
AC47_Ddah_f_dd0523,2341,381,18
AC48_Ddah_f_dd0543,2543,133,38
AC53_Dport_m_dd0523,2029,62,18
AC55_Dport_f_dd0523,1432,179,10
AC56_Darm_f_dd0523,1582,33,31
AC57_Darm_f_dd0523,1048,160,78
AC58_Darm_f_dd0523,1324,98,77
AC60_Darm_f_dd0523,3230,231,89
AC61_Darm_f_dd0623,1649,59,54
AC64_Darm_f_dd0523,1835,95,28
AC65_Darm_f_dd0623,4580,166,91
AC66_Darm_f_dd0623,3105,264,89
AC67_Darm_f_dd0623,2240,201,14
AC74_Dport_f_dd0523,779,58,70
ACN1341_Dport_f_dd0523,1333,64,81
ACN1342_Dport_f_dd0523,3657,194,31
ACN1343_Dport_f_dd0523,2553,67,7
ACN1354_Dport_f_dd0523,1868,75,31
ASH1000_Dval_f_dd0623,2060,380,35
ASH143_Dval_m_240523,3807,357,60
ASH424_Darm_f_dd0623,1576,131,47
ASH51_Dval_f_240523,2516,72,278
ASH51_Dval_f_dd0623,3085,227,76
ASH552_Darm_f_dd0623,1897,10,20
